Indicators :,"Cultural (Museums, galleries, attractions, theatres, concerts, libraries)",Borders and Movement (including Schengen Area),"Gatherings (Weddings, funerals, concerts, religious services)",Manufacturing & Construction,Contact Services (beauty &health),"Leisure Activities (Sporting, parks, going outside, amusement parks, zoos)","Eateries (restaurants, bars, cafes)","Schooling
 & 
Youth Activities ",Stores and Non-Essential Businesses ,Mean This Week,Mean This Week,Level of reopening this week based on mean:
Belgium,3,3,2,4,2,3,2,2,1,2.44,2.44,2
France,1,3,1,4,1,2,2,5,1,2.22,2.22,2
Germany,1,3,2,4,3,2,2,4,3,2.67,2.67,2
Ireland,1,3,2,4,1,3,2,2,2,2.22,2.22,2
Luxembourg,4,3,2,4,3,3,4,3,4,3.33,3.33,3
Netherlands,1,3,2,4,4,2,2,4,4,3.33,2.89,2
Portugal,4,3,2,4,4,4,3,3,3,3.33,3.33,3
Spain,4,3,2,4,4,4,4,4,4,3.67,3.67,3
UnitedKingdom,1,3,2,4,1,2,2,4,2,2.33,2.33,2
CzechRepublic,1,2,2,2,2,2,2,2,2,2,1.89,1
Hungary,4,2,4,4,4,4,4,4,4,3.78,3.78,3
Latvia,3,3,2,3,3,2,2,2,2,3.33,2.44,2
Lithuania,2,3,2,3,2,2,2,2,2,3.67,2.22,2
Poland,1,3,2,3,3,2,2,2,3,2.44,2.33,2
Slovakia,1,3,2,3,3,2,2,3,3,2.89,2.44,2
Austria,2,3,2,4,4,4,2,4,3,3.22,3.11,3
Greece,4,3,2,insufficient data,4,4,2,3,1,3.5,2.88,2
Italy,3,3,2,4,4,3,3,4,4,3.56,3.33,3
Slovenia,4,3,2,4,4,4,3,1,3,3.11,3.11,3
Switzerland,4,3,3,insufficient data,4,4,4,4,4,3.75,3.75,3
Australia,3,2,3,4,3,3,3,4,4,3.11,3.22,3
Israel,1,2,2,4,3,2,2,2,3,2.22,2.33,2
Japan,4,3,4,4,4,4,4,3,4,3.78,3.78,3
NewZealand,5,2,5,5,5,5,4,5,4,4.44,4.44,4
SouthKorea,4,3,5,4,4,4,4,3,4,3.89,3.89,3
Turkey,4,3,4,4,4,4,4,2,3,3.56,3.56,3
Denmark,4,3,2,4,4,4,4,4,4,3.67,3.67,3
Estonia,4,3,4,4,4,4,4,4,4,3.89,3.89,3
Finland,4,3,4,4,4,4,4,4,4,3.89,3.89,3
Iceland,4,3,2,4,4,2,4,4,4,3.44,3.44,3
Norway,4,3,2,4,4,4,4,4,4,3.67,3.67,3
Sweden,4,3,4,4,4,4,4,4,4,3.89,3.89,3
Chile,1,2,2,insufficient data,1,1,1,1,1,1.25,1.25,1
Mexico,2,3,2,4,3,2,2,1,3,2.44,2.44,2
California,4,3,2,4,4,4,3,4,4,3.33,3.56,3
Illinois,4,3,2,4,4,4,2,4,4,3.56,3.44,3
Michigan,3,3,3,4,3,4,3,3,3,3.22,3.22,3
NewYork,3,3,2,4,4,4,4,4,4,3.56,3.56,3
Texas,4,3,4,4,4,4,4,4,4,3.89,3.89,3
Alberta,3,2,4,4,4,4,4,4,4,3.67,3.67,3
BritishColumbia,3,2,1,3,3,2,3,4,4,3,2.78,2
Manitoba,3,2,2,4,3,3,3,3,3,2.89,2.89,2
NewBrunswick,4,2,2,4,3,3,4,4,4,3.33,3.33,3
Newfoundland,4,2,3,4,4,4,4,4,4,3.67,3.67,3
NorthwestTerritories,2,2,2,4,4,3,3,3,3,2.89,2.89,2
NovaScotia,4,2,4,4,4,4,4,4,4,3.78,3.78,3
Nunavut,3,2,3,4,3,4,4,4,4,3.44,3.44,3
Ontario,4,2,2,4,4,4,3,4,4,3.44,3.44,3
PrinceEdwardIsland,4,2,3,4,4,4,4,4,4,3.67,3.67,3
Quebec,4,2,4,4,4,3,3,4,4,3.56,3.56,3
Saskatchewan,4,2,2,4,4,4,4,3,4,3.44,3.44,3
Yukon,3,2,3,4,4,3,4,3,2,3.11,3.11,3
