Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
Australia,3,2,2,3,3,4,3,3,3,0,2.89,2,1,2020-05-22,2.147058824,0.7329374,0
Austria,3,4,2,3,3,3,3,2,3,0,2.89,2,1,2020-05-22,2.147058824,0.7329374,0
Belgium,2,1,2,-10,3,3,2,2,3,0,2,2,1,2020-05-22,2.147058824,0.7329374,0
Chile,1,2,2,-10,1,1,-10,1,2,0,1.11,1,1,2020-05-22,2.147058824,0.7329374,0
CzechRepublic,3,3,3,3,4,4,3,3,3,0,3.22,3,1,2020-05-22,2.147058824,0.7329374,0
Denmark,3,2,3,3,4,3,3,3,3,0,3,3,1,2020-05-22,2.147058824,0.7329374,0
Estonia,3,2,3,4,4,3,2,2,4,0,3,3,1,2020-05-22,2.147058824,0.7329374,0
Finland,2,2,2,3,3,3,2,3,2,0,2.44,2,1,2020-05-22,2.147058824,0.7329374,0
France,1,2,2,3,3,2,1,2,2,0,2,2,1,2020-05-22,2.147058824,0.7329374,0
Germany,3,2,3,3,3,3,3,3,3,0,2.89,2,1,2020-05-22,2.147058824,0.7329374,0
Greece,3,2,2,-10,3,3,2,2,2,0,2.11,2,1,2020-05-22,2.147058824,0.7329374,0
Hungary,3,3,4,3,4,4,4,4,4,0,3.67,3,1,2020-05-22,2.147058824,0.7329374,0
Iceland,4,2,3,4,4,4,3,4,4,0,3.56,3,1,2020-05-22,2.147058824,0.7329374,0
Ireland,1,1,1,-10,1,3,1,1,2,0,1.22,1,1,2020-05-22,2.147058824,0.7329374,0
Israel,3,2,3,3,3,3,3,3,3,0,2.89,2,1,2020-05-22,2.147058824,0.7329374,0
Italy,3,2,2,4,3,2,3,1,3,0,2.56,2,1,2020-05-22,2.147058824,0.7329374,0
Japan,3,2,3,3,3,3,3,3,3,0,2.89,2,1,2020-05-22,2.147058824,0.7329374,0
Latvia,4,3,3,3,3,4,3,2,3,0,3.11,3,1,2020-05-22,2.147058824,0.7329374,0
Lithuania,4,3,3,3,4,4,4,3,3,0,3.44,3,1,2020-05-22,2.147058824,0.7329374,0
