SocialDistancing,fedapprove,provapprove,localapprove,wave,age_cat
0.6817768,0.403906494,0.437441707,0.418754011,31-Mar,18-34
0.6471229,0.411543936,0.497674912,0.440144271,06-Apr,18-34
0.7023676,0.406486571,0.472967625,0.401020408,11-Apr,18-34
0.6550854,0.299138993,0.378749132,0.359205633,19-Apr,18-34
0.6444855,0.39437142,0.456050843,0.405125976,30-Apr,18-34
0.6873277,0.317997396,0.365550429,0.336666971,05-May,18-34
0.6006703,0.365256846,0.397072017,0.363418937,12-May,18-34
0.5663334,0.364346057,0.44318077,0.375372708,27-May,18-34
0.5659868,0.267329305,0.321703553,0.284433573,16-Jun,18-34
0.5055568,0.267517745,0.312511414,0.303045571,26-Jun,18-34
0.5428476,0.320582807,0.330193013,0.326206148,06-Jul,18-34
0.5557902,0.301795006,0.34520787,0.327818394,13-Jul,18-34
0.5692216,0.275085568,0.295176417,0.288131714,20-Jul,18-34
0.5262477,0.291054219,0.30843997,0.305300921,27-Jul,18-34
0.533942,0.282934844,0.272749126,0.256355137,10-Aug,18-34
0.5127697,0.282264531,0.296314806,0.303934991,17-Aug,18-34
0.5215932,0.287659436,0.288375169,0.279113829,24-Aug,18-34
0.5207042,0.251521558,0.226327717,0.248245522,27-Aug,18-34
0.5108846,0.196116865,0.246747956,0.247253343,03-Sep,18-34
0.4893312,0.249746948,0.237422541,0.282589793,10-Sep,18-34
0.5305712,0.249642491,0.239383012,0.259172112,18-Sep,18-34
0.5205743,0.205684632,0.191871956,0.209308639,26-Sep,18-34
0.5477629,0.234536022,0.187858015,0.212221667,03-Oct,18-34
0.5491313,0.196281493,0.184609979,0.21466814,09-Oct,18-34
0.4910063,0.253515482,0.229010001,0.244325787,16-Oct,18-34
0.5599482,0.235833183,0.21667701,0.242954656,23-Oct,18-34
0.227932,0.19659555,0.174325347,0.199079946,31-Oct,18-34
0.7162792,0.334528863,0.404409856,0.355421484,31-Mar,35-54
0.7622466,0.33706829,0.497048914,0.413133442,06-Apr,35-54
0.7397388,0.376923531,0.534517169,0.376458436,11-Apr,35-54
0.6928599,0.284297436,0.475694597,0.370876461,19-Apr,35-54
0.7173185,0.367001027,0.454958677,0.38565895,30-Apr,35-54
0.7015032,0.310333967,0.438708782,0.358555317,05-May,35-54
0.7183427,0.322834104,0.441342801,0.354108453,12-May,35-54
0.5991924,0.340715736,0.413674444,0.383434802,27-May,35-54
0.6376386,0.257932901,0.351932764,0.314470768,16-Jun,35-54
0.5878179,0.26801917,0.375198305,0.311009735,26-Jun,35-54
0.6237844,0.246414423,0.350278109,0.294984579,06-Jul,35-54
0.6018279,0.297707886,0.391178459,0.340254843,13-Jul,35-54
0.6186267,0.276416123,0.383939564,0.341810882,20-Jul,35-54
0.6025568,0.263721228,0.381813824,0.309410125,27-Jul,35-54
0.5927991,0.251089305,0.321084887,0.283826202,10-Aug,35-54
0.5686973,0.273571312,0.350949585,0.308194816,17-Aug,35-54
0.5593487,0.248353213,0.31469503,0.273035854,24-Aug,35-54
0.5686435,0.274302512,0.326839596,0.307256699,27-Aug,35-54
0.5912817,0.251939565,0.291408062,0.283235371,03-Sep,35-54
0.5779835,0.23219271,0.29822892,0.271012366,10-Sep,35-54
0.5798487,0.210263014,0.290789366,0.237398311,18-Sep,35-54
0.5641119,0.197380707,0.27569288,0.252692997,26-Sep,35-54
0.5799073,0.17420882,0.225641668,0.228360385,03-Oct,35-54
0.5929949,0.138716713,0.24462074,0.264144957,09-Oct,35-54
0.612038,0.162201717,0.229615465,0.223145992,16-Oct,35-54
0.5861527,0.220494628,0.291373312,0.24590303,23-Oct,35-54
0.2959479,0.180393994,0.223823726,0.201089129,31-Oct,35-54
0.8077003,0.419074804,0.525269747,0.438997865,31-Mar,55+
0.8512235,0.394425064,0.63627255,0.513831496,06-Apr,55+
0.8387465,0.444470584,0.647284329,0.45291239,11-Apr,55+
0.7560073,0.360281378,0.595625579,0.455689549,19-Apr,55+
0.7974564,0.361823946,0.550717056,0.4503057,30-Apr,55+
0.7864828,0.352242887,0.559001803,0.418085486,05-May,55+
0.7902366,0.363087475,0.527008414,0.407795727,12-May,55+
0.731509,0.305887222,0.553290009,0.424254447,27-May,55+
0.7203942,0.344708234,0.528997302,0.396227121,16-Jun,55+
0.7114232,0.324821651,0.52831465,0.382044017,26-Jun,55+
0.6845306,0.351458669,0.541257858,0.432613581,06-Jul,55+
0.7030575,0.338552743,0.558646083,0.428612232,13-Jul,55+
0.7066436,0.336432993,0.56306529,0.422746181,20-Jul,55+
0.7073942,0.299851239,0.504514635,0.389302611,27-Jul,55+
0.6791739,0.313007832,0.511850834,0.401345253,10-Aug,55+
0.6823912,0.373678058,0.515250862,0.399761766,17-Aug,55+
0.6505576,0.302283943,0.498999059,0.377689153,24-Aug,55+
0.6604077,0.289363325,0.488456428,0.389620215,27-Aug,55+
0.6501647,0.311311126,0.498723477,0.347635746,03-Sep,55+
0.6904774,0.293390691,0.452127069,0.355194628,10-Sep,55+
0.680206,0.302990496,0.478539169,0.376765341,18-Sep,55+
0.7008534,0.283793002,0.434298873,0.335962117,26-Sep,55+
0.691061,0.297460318,0.450416088,0.36459294,03-Oct,55+
0.7202703,0.273387641,0.423721075,0.331031799,09-Oct,55+
0.7338094,0.225052699,0.351825744,0.304944247,16-Oct,55+
0.7151126,0.241945773,0.392220855,0.322067618,23-Oct,55+
,,,,,
